url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26045837-internship-digital-commerce,26045837,Internship Digital Commerce,Sametech Solutions Sdn. Bhd.,"Up to MYR1,000 monthly","Latihan Industri,","Dengkil, Selangor","Up to MYR1,000 monthly",17 days ago,"Basic knowledge of e-commerce platforms, Familiarity with website/content updating (e.g.",hybrid-all
https://www.maukerja.my/job/26077840-sales-engineer-kl-bangkok,26077840,Sales Engineer (KL & Bangkok),Bigstar Optoelectronic (M) Sdn. Bhd.,"Up to MYR4,000 Sebulan","Sepenuh Masa,","Kepong, Selangor","Up to MYR4,000 Sebulan",3 days ago,"Sales, Technical Support",hybrid-all
https://www.maukerja.my/job/26024818-eksekutif-jualan,26024818,Eksekutif Jualan,Omnimesh Logistics Sdn Bhd,"MYR2,800 - MYR3,300","Sepenuh Masa,","Telok Panglima Garang, Selangor","MYR2,800 - MYR3,300",4 days ago,"Ocean Freight (LCL/FCL), Import/Export Operations",hybrid-all
https://www.maukerja.my/job/25934960-internship-for-property-management-executive,25934960,Internship For Property Management Executive,Domora Sdn Bhd,"MYR800 - MYR1,000 monthly","Latihan Industri,","Petaling Jaya, Selangor","MYR800 - MYR1,000 monthly",a month ago,"Property Management, tenant relations",hybrid-all
https://www.maukerja.my/job/26043625-it-support,26043625,IT Support,Stack Network Sdn Bhd,"MYR3,000 - MYR3,500 monthly","Sepenuh Masa,",WP Kuala Lumpur,"MYR3,000 - MYR3,500 monthly",5 days ago,"Mandarin, Technical Support",hybrid-all
https://www.maukerja.my/job/25965867-senior-multimedia-designer,25965867,Senior Multimedia Designer,MC Crenergy Sdn Bhd,"MYR4,000 - MYR5,000 monthly","Sepenuh Masa,","Puchong, Selangor","MYR4,000 - MYR5,000 monthly",15 hours ago,"Graphic Design, Video Editing",hybrid-all
https://www.maukerja.my/job/24438763-full-stack-developer,24438763,Full Stack Developer,21 Media Marketing,"MYR4,000 - MYR7,000 Sebulan","Sepenuh Masa,","Seri Kembangan, Selangor","MYR4,000 - MYR7,000 Sebulan",14 hours ago,"Full-Stack Development, JavaScript",hybrid-all
https://www.maukerja.my/job/24878554-assistant-executive-officer,24878554,Assistant Executive Officer,WO WO Malaysia Sdn Bhd,"MYR2,400 - MYR3,500 Sebulan","Sepenuh Masa,","Cheras, WP Kuala Lumpur","MYR2,400 - MYR3,500 Sebulan",2 days ago,"Administrative Support, Communication Skills",hybrid-all
https://www.maukerja.my/job/24666058-accountant,24666058,Accountant,21 Media Marketing,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Seri Kembangan, Selangor","MYR3,500 - MYR5,500 Sebulan",2 days ago,"Financial Accounting, Account Reconciliation",hybrid-all
https://www.maukerja.my/job/23137894-senior-accounts-executive,23137894,Senior Accounts Executive,Agensi Pekerjaan JAC Sdn. Bhd.,"MYR5,500 - MYR6,000 Sebulan","Sepenuh Masa,","Bangsar, WP Kuala Lumpur","MYR5,500 - MYR6,000 Sebulan",20 days ago,"Accounting, Financial Reporting",hybrid-all
https://www.maukerja.my/job/25136126-financial-planner,25136126,Financial Planner,ORC Risk Consulting Group Sdn Bhd,"MYR3,000 - MYR4,500 Sebulan","Sepenuh Masa,","Mont Kiara, WP Kuala Lumpur","MYR3,000 - MYR4,500 Sebulan",5 months ago,"Product Knowledge, Communication Skill",hybrid-all
https://www.maukerja.my/job/24479316-admin-cum-account-assistant,24479316,Admin cum Account Assistant,Aurra Finacc Sdn. Bhd.,"MYR3,000 - MYR4,000 Sebulan","Sepenuh Masa,",WP Kuala Lumpur,"MYR3,000 - MYR4,000 Sebulan",2 days ago,"Communication Skills, Data Entry",hybrid-all
https://www.maukerja.my/job/24976225-financial-advisor,24976225,Financial Advisor,JC Group Champion Sdn. Bhd.,"MYR2,500 - MYR9,000 Sebulan","Sepenuh Masa,","Bangsar, WP Kuala Lumpur","MYR2,500 - MYR9,000 Sebulan",14 hours ago,"Financial Planning, Investment Management",hybrid-all
https://www.maukerja.my/job/24792348-sales-consultant,24792348,Sales Consultant,Mateen Legacy Services,Undisclosed,"Sepenuh Masa,","Shah Alam, Selangor",Undisclosed,11 days ago,"Sales and Marketing Skills, Communication Skills",hybrid-all
