url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Per Hour,N/A,"Marang, Terengganu",Up to MYR12 Per Hour,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Per Month",N/A,"Marang, Terengganu","Up to MYR2,500 Per Month",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Marang, Terengganu","Up to MYR1,500 Per Month",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Per Month",N/A,"Marang, Terengganu","Up to MYR1,900 Per Month",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Marang, Terengganu","Up to MYR1,500 Per Month",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770371-ejen-penghantar-makanan-mcdonalds-pandu-lalu-marang,3770371,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,900 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770370-kru-restaurant-mcdonalds-pandu-lalu-marang,3770370,Kru Restaurant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-marang
https://www.maukerja.my/job/24282455-graduate-employability-program-mcdonalds-pandu-lalu-marang,24282455,Graduate Employability Program ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Marang, Terengganu",Up to MYR12 Sejam,8 months ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/22956040-technical-assistant-mcdonalds-pandu-lalu-marang,22956040,Technical Assistant ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR2,500 Sebulan",a year ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/19894991-general-worker-pekerja-am-mcdonalds-pandu-lalu-marang,19894991,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Marang, Terengganu",Undisclosed,2 years ago,Any Skill,sepenuh-masa-marang
https://www.maukerja.my/job/3770368-barista-mcdonalds-pandu-lalu-marang,3770368,Barista ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Marang, Terengganu","Up to MYR1,500 Sebulan",3 years ago,Any Skill,sepenuh-masa-marang
