url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-sarawak
https://www.maukerja.my/job/26440509-pembantu-analisis-data-pelaporan,26440509,Pembantu Analisis Data & Pelaporan,Lea Holdings (M) Sdn Bhd,"MYR1,800 - MYR2,300 Sebulan",Sepenuh Masa,"Kuching, Sarawak",13 hours ago,"Data Analysis, Reporting",sepenuh-masa-sarawak
https://www.maukerja.my/job/26383632-eksekutif-akaun,26383632,Eksekutif Akaun,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",15 hours ago,"Sales, Client Relationship Management",sepenuh-masa-sarawak
https://www.maukerja.my/job/26383647-pembantu-pentadbiran,26383647,Pembantu Pentadbiran,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",15 hours ago,"Administrative Support, Office Management",sepenuh-masa-sarawak
https://www.maukerja.my/job/26383611-pembantu-akaun,26383611,Pembantu Akaun,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",15 hours ago,"Accounting Software, Data Entry",sepenuh-masa-sarawak
https://www.maukerja.my/job/26416047-sales-representative,26416047,Sales Representative,A One Foods And Beverages Sdn. Bhd.,"MYR3,000 - MYR6,500 Sebulan",Sepenuh Masa,"Asajaya, Sarawak",2 days ago,"Negotiation, Communication",sepenuh-masa-sarawak
https://www.maukerja.my/job/26415220-office-assistant,26415220,Office Assistant,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",3 days ago,"Administrative Support, Office Management",sepenuh-masa-sarawak
https://www.maukerja.my/job/26415222-office-administrator,26415222,Office Administrator,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",3 days ago,"Administrative Support, Office Management",sepenuh-masa-sarawak
https://www.maukerja.my/job/26415221-executive-assistant,26415221,Executive Assistant,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",3 days ago,"Administrative Support, Office Management",sepenuh-masa-sarawak
https://www.maukerja.my/job/26415288-accounts-receivable-clerk,26415288,Accounts Receivable Clerk,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",3 days ago,"Accounting Software, Data Entry",sepenuh-masa-sarawak
https://www.maukerja.my/job/26426976-restaurant-manager,26426976,Restaurant Manager,Souper Tang Group Sdn. Bhd.,"MYR4,000 - MYR7,000 Sebulan",Sepenuh Masa,"Kuching, Sarawak",2 days ago,"Leadership, Customer Service",sepenuh-masa-sarawak
https://www.maukerja.my/job/26415287-accounts-payable-clerk,26415287,Accounts Payable Clerk,Miri Housing Properties (Bintang Megamall),Undisclosed,Sepenuh Masa,"Miri, Sarawak",3 days ago,"Accounting Software, Data Entry",sepenuh-masa-sarawak
https://www.maukerja.my/job/17937297-delivery-rider-part-time-dominos-pizza-jalan-green,17937297,Delivery Rider (Part Time) ( Domino's Pizza Jalan Green ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/21256244-delivery-rider-part-time-dominos-kota-samarahan,21256244,Delivery Rider (Part Time) ( Domino's Kota Samarahan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Samarahan, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/20681053-delivery-rider-part-time-dominos-miri-permyjaya,20681053,Delivery Rider (Part Time) ( Domino's Miri PermyJaya ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Miri, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/17937298-delivery-rider-part-time-dominos-pizza-tabuan-tranquility,17937298,Delivery Rider (Part Time) ( Domino's Pizza Tabuan Tranquility ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/19212658-delivery-rider-part-time-dominos-pizza-batu-kawa,19212658,Delivery Rider (Part Time) ( Domino's Pizza Batu Kawa ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/21127296-delivery-rider-part-time-dominos-pizza-bintulu,21127296,Delivery Rider (Part Time) ( Domino's Pizza Bintulu ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Bintulu, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/17937299-delivery-rider-part-time-dominos-pizza-metrocity,17937299,Delivery Rider (Part Time) ( Domino's Pizza Metrocity ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/21256250-delivery-rider-part-time-dominos-sibu,21256250,Delivery Rider (Part Time) ( Domino's Sibu ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sibu, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/20681052-delivery-rider-part-time-dominos-miri-marina,20681052,Delivery Rider (Part Time) ( Domino's Miri Marina ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Miri, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
https://www.maukerja.my/job/20681051-crew-member-full-time-dominos-miri-permyjaya,20681051,Crew Member (Full Time) ( Domino's Miri PermyJaya ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Miri, Sarawak",2 months ago,Any Skill,sepenuh-masa-sarawak
