url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-gombak
https://www.maukerja.my/job/26266533-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-karak-highway,26266533,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Karak Highway ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Gombak, WP Kuala Lumpur",15 days ago,Any Skill,sepenuh-masa-gombak
https://www.maukerja.my/job/26266888-kru-kasual-hari-raya-haji-mcdonalds-shell-karak-dt,26266888,Kru Kasual - Hari Raya Haji ( McDonald's Shell Karak DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Gombak, Selangor",15 days ago,Any Skill,sepenuh-masa-gombak
https://www.maukerja.my/job/26266504-kru-kasual-hari-raya-haji-mcdonalds-gombak,26266504,Kru Kasual - Hari Raya Haji ( McDonald’s Gombak ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Gombak, WP Kuala Lumpur",15 days ago,Any Skill,sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26185981&slug=accountant-grade-wa9,N/A,Accountant (Grade WA9),International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Financial Reporting, Knowledge of Standards",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26186013&slug=associate-professor-ds14-department-of-information-system,N/A,Associate Professor (DS14) - Department Of Information System,International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Research Program Management, Advanced Bibliometrics",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26186039&slug=assistant-professor-duf13-department-of-pharmaceutical-technology,N/A,Assistant Professor (DUF13) - Department Of Pharmaceutical Technology,International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Dosage Form Design, Pre-formulation Studies",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26186085&slug=administrative-officer-grade-n9,N/A,Administrative Officer (Grade N9),International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Office Suites, Calendar Management",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26164197&slug=assistant-professor-ds13-department-of-accounting-kulliyyah-of-economics-and-management-sciences,N/A,Assistant Professor (DS13) - Department of Accounting Kulliyyah of Economics and Management Sciences,International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",a month ago,"Grant Writing & Management, Scholarly Publication",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26185990&slug=assistant-professor-ds13-department-of-information-system,N/A,Assistant Professor (DS13) - Department Of Information System,International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Advanced Research Methodology, Specialized Domain Expertise",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26186055&slug=information-technology-officer-iium-on-demand-employment,N/A,Information Technology Officer (IIUM on Demand Employment),International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Hardware and Software Management, Network Administration",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26185841&slug=assistant-engineer-civil-grade-ja5,N/A,Assistant Engineer (Civil) (Grade JA5),International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Surveying & Geomatics, Geotechnical Basics",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26246655&slug=senior-analyst-service-quality-and-improvement,N/A,Senior Analyst (Service Quality and Improvement),Kumpulan Wang Simpanan Pekerja (KWSP),Undisclosed,Sepenuh Masa,"Gombak, Selangor",18 days ago,"Data Analysis & Performance Insights, Core Service Quality & Improvement",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26246713&slug=it-service-operation-senior-analyst,N/A,IT Service Operation Senior Analyst,Kumpulan Wang Simpanan Pekerja (KWSP),Undisclosed,Sepenuh Masa,"Gombak, Selangor",18 days ago,"Monitoring, Tools & Technical Skills",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26247702&slug=executive-compliance-and-quality-management,N/A,Executive | Compliance and Quality Management,Kumpulan Wang Simpanan Pekerja (KWSP),Undisclosed,Sepenuh Masa,"Gombak, Selangor",17 days ago,"Compliance Management, Regulatory Affairs",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26247712&slug=legal-officer-senior-legal-officer-prosecution-litigation,N/A,Legal Officer/ Senior Legal Officer (Prosecution & Litigation),Kumpulan Wang Simpanan Pekerja (KWSP),Undisclosed,Sepenuh Masa,"Gombak, Selangor",17 days ago,"Legal Research, Litigation",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26185777&slug=nurse-grade-u5,N/A,Nurse (Grade U5),International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Patient Assessment & Monitoring, Medication Administration",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26185762&slug=assistant-professor-ds13-department-of-mechatronics-engineering,N/A,Assistant Professor (DS13) - Department of Mechatronics Engineering,International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Robotics & Automation, Control Systems",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26185787&slug=administrative-assistant,N/A,Administrative Assistant,International Islamic University Malaysia (IIUM),Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Office Suites, Calendar Management",sepenuh-masa-gombak
https://www.maukerja.my/job?jobId=26186111&slug=associate-risk-specialist-manager-cyber-risk-risk-specialist-and-technology-supervision,N/A,"Associate Risk Specialist (Manager), Cyber Risk | Risk Specialist and Technology Supervision",Bank Negara Malaysia,Undisclosed,Sepenuh Masa,"Gombak, Selangor",25 days ago,"Regulatory Knowledge, Policy Evaluation",sepenuh-masa-gombak
