url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job/21950138-delivery-rider-part-time-dominos-pizza-tangkak,21950138,Delivery Rider (Part Time) ( Domino's Pizza Tangkak ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/21952105-crew-member-full-time-dominos-pizza-tangkak,21952105,Crew Member (Full Time) ( Domino's Pizza Tangkak ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/13085280-barista-mcdonalds-pandu-lalu-tangkak,13085280,Barista ( McDonald's Pandu Lalu Tangkak ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/26266846-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-tangkak,26266846,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Tangkak ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Tangkak, Johor",14 days ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/24646721-assistant-manager-dominos-pizza-tangkak,24646721,Assistant Manager ( Domino's Pizza Tangkak ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/24646712-restaurant-manager-dominos-pizza-tangkak,24646712,Restaurant Manager ( Domino's Pizza Tangkak ),Domino's Pizza,"Up to MYR3,500 Sebulan",N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/21950296-crew-member-part-time-dominos-pizza-tangkak,21950296,Crew Member (Part Time) ( Domino's Pizza Tangkak ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/21842708-delivery-rider-full-time-dominos-pizza-tangkak,21842708,Delivery Rider (Full Time) ( Domino's Pizza Tangkak ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tangkak, Johor",2 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job/24282470-graduate-employability-program-mcdonalds-pandu-lalu-tangkak,24282470,Graduate Employability Program ( McDonald's Pandu Lalu Tangkak ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tangkak, Johor",9 months ago,Any Skill,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26354887&slug=civil-engineer,N/A,CIVIL ENGINEER,Medivest Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan",Sepenuh Masa,Tangkak,8 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26304669&slug=retail-assistant-familymart-tangkak,N/A,Retail assistant - FamilyMart Tangkak,QL Maxincome Sdn Bhd (FAMILYMART),"MYR1,700 - MYR1,900 Sebulan",Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26304095&slug=sales-assistant-pharmacist-assistant,N/A,Sales Assistant-Pharmacist Assistant,Alpro Pharmacy Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26299328&slug=store-supervisor-familymart-tangkak,N/A,Store Supervisor - FamilyMart Tangkak,QL Maxincome Sdn Bhd (FAMILYMART),"MYR2,000 - MYR2,300 Sebulan",Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26287177&slug=uas-maintenance-technician-drone-technology,N/A,UAS Maintenance Technician (Drone Technology),Aonic,Undisclosed,Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26284595&slug=uas-remote-pilot-agricultural,N/A,UAS Remote Pilot (Agricultural),Aonic,Undisclosed,Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26283741&slug=electrical-technician,N/A,Electrical Technician,Hijrah Water,"MYR1,800 - MYR2,500 Sebulan",Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
https://www.maukerja.my/job?jobId=26283737&slug=business-development-junior-executive,N/A,Business Development Junior Executive,Hijrah Water,"MYR1,800 - MYR2,200 Sebulan",Sepenuh Masa,Tangkak,12 days ago,N/A,sepenuh-masa-tangkak
