url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/25923858-internship-for-marketing-content-creation,25923858,Internship For Marketing & Content Creation,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Per Month",Internship,"Johor Bahru, Johor","MYR800 - MYR1,000 Per Month",a month ago,"Content Creation, Marketing Strategy",internship-johor-bahru
https://www.maukerja.my/job/25882696-internship-for-hr-recruitment-admin-facilities-sales-marketing,25882696,Internship For HR (Recruitment)/ Admin & Facilities / Sales / Marketing,Alpaca Connect Sdn Bhd,"MYR500 - MYR1,000 monthly",Internship,"Johor Bahru, Johor","MYR500 - MYR1,000 monthly",5 days ago,"Recruitment, Human Resources",internship-johor-bahru
https://www.maukerja.my/job/25923911-internship-for-finance-administration,25923911,Internship For Finance & Administration,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Per Month",Internship,"Johor Bahru, Johor","MYR800 - MYR1,000 Per Month",a month ago,"Financial Management, Accounting",internship-johor-bahru
https://www.maukerja.my/job/25879401-internship-for-civil-engineering,25879401,Internship For Civil Engineering,Atlantis C&E Sdn Bhd,Undisclosed,Internship,"Johor Bahru, Johor",Undisclosed,2 months ago,Civil Engineering,internship-johor-bahru
https://www.maukerja.my/job/25996725-internship-for-administrative-and-it-software-support,25996725,Internship For Administrative and IT Software Support,"SQL, Autocount, Doctor Partner,Fav365, Fingertech","MYR500 - MYR1,200 Per Month",Internship,"Johor Bahru, Johor","MYR500 - MYR1,200 Per Month",a month ago,"Cold Calling, Time Management",internship-johor-bahru
https://www.maukerja.my/job/25923828-internship-for-interior-design-project-support,25923828,Internship For Interior Design & Project Support,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Per Month",Internship,"Johor Bahru, Johor","MYR800 - MYR1,000 Per Month",a month ago,"Interior Design, Project Management",internship-johor-bahru
https://www.maukerja.my/job/25958877-eksekutif-pentadbiran-latihan-praktikal,25958877,Eksekutif Pentadbiran (Latihan Praktikal),Pesco Pest Control Sdn Bhd,MYR600 - MYR800 Per Month,Internship,"Johor Bahru, Johor",MYR600 - MYR800 Per Month,a month ago,"Administrative Support, Scheduling",internship-johor-bahru
https://www.maukerja.my/job/25842148-internship-for-site-engineer,25842148,Internship For Site Engineer,H.K.L. Metal Works Sdn Bhd,"MYR1,000 - MYR1,200 Per Month",Internship,"Johor Bahru, Johor","MYR1,000 - MYR1,200 Per Month",2 months ago,"Site Supervision, Civil Engineering",internship-johor-bahru
https://www.maukerja.my/job/25862147-internship-for-qaqc-engineer,25862147,Internship For QAQC ENGINEER,Far East Facade (Singapore) Pte Ltd,"MYR5,000 - MYR8,000 Per Month",Internship,"Johor Bahru, Johor","MYR5,000 - MYR8,000 Per Month",2 months ago,"Quality Assurance, Quality Control",internship-johor-bahru
N/A,N/A,Internship Computer IT Students,Mewatech Solutions Enterprise,"MYR600 - MYR1,500 Per Month","Internship,",Johor Bahru,"MYR600 - MYR1,500 Per Month",2 days ago,N/A,internship-johor-bahru
N/A,N/A,Internship Sales - Marketing,CADVision Systems Sdn Bhd,"MYR800 - MYR1,000 Per Month",Internship,Johor Bahru,"MYR800 - MYR1,000 Per Month",2 days ago,N/A,internship-johor-bahru
N/A,N/A,INTERNSHIP (ESH),Geohan Sdn Bhd,"MYR1,000 - MYR1,000 Per Month",Internship,Johor Bahru,"MYR1,000 - MYR1,000 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,Internship - Finance,Farm Fresh Milk Sdn Bhd,MYR800 - MYR800 Per Month,Internship,Johor Bahru,MYR800 - MYR800 Per Month,a day ago,N/A,internship-johor-bahru
N/A,N/A,HR Trainee (Internship),Hotel Granada Johor Bahru,Undisclosed,"Full Time,",Johor Bahru,Undisclosed,a day ago,N/A,internship-johor-bahru
N/A,N/A,Digital Content Trainee (Internship),Hotel Granada Johor Bahru,Undisclosed,"Full Time,",Johor Bahru,Undisclosed,a day ago,N/A,internship-johor-bahru
N/A,N/A,INTERNSHIP CONTENT CREATOR CUM VIDEOGRAPHER,Big Fat Smile Sdn Bhd,"MYR1,500 - MYR1,500 Per Month","Full Time,",Johor Bahru,"MYR1,500 - MYR1,500 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,PROTEGE Trainee - Mechanical Electrical Engineering,Gabungan AQRS Berhad,"MYR2,000 - MYR2,500 Per Month","Full Time,",Johor Bahru,"MYR2,000 - MYR2,500 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,Assistant Contract Administrator,Gabungan AQRS Berhad,"MYR2,500 - MYR4,000 Per Month","Full Time,",Johor Bahru,"MYR2,500 - MYR4,000 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,Clerk of Work (Architecture),Gabungan AQRS Berhad,"MYR4,000 - MYR6,000 Per Month","Full Time,",Johor Bahru,"MYR4,000 - MYR6,000 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,Sales - Marketing Internship | Taman Austin Perdana (Johor),CADVision Systems Sdn Bhd,"MYR800 - MYR1,000 Per Month",Internship,Johor Bahru,"MYR800 - MYR1,000 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,"Internship Occupational, Safety and Health",Pamir Development Sdn Bhd,"MYR1,000 - MYR1,300 Per Month",Internship,Johor Bahru,"MYR1,000 - MYR1,300 Per Month",2 days ago,N/A,internship-johor-bahru
N/A,N/A,Internship Healthcare business Internship,Metalli Pte Ltd,"MYR750 - MYR1,000 Per Month",Internship,Johor Bahru,"MYR750 - MYR1,000 Per Month",2 days ago,N/A,internship-johor-bahru
N/A,N/A,Internship Finance Intern,FeedMe POS Sdn Bhd,MYR800 - MYR800 Per Month,Internship,Johor Bahru,MYR800 - MYR800 Per Month,2 days ago,N/A,internship-johor-bahru
N/A,N/A,Management Trainee,Prudential Bsn Takaful,"MYR2,000 - MYR5,000 Per Month","Full Time,",Johor Bahru,"MYR2,000 - MYR5,000 Per Month",a day ago,N/A,internship-johor-bahru
N/A,N/A,Operations Assistant cum Human Resource Intern- Executive,Ace Star Tech Systems Integration Pte Ltd,"MYR900 - MYR3,000 Per Month","Full Time,",Johor Bahru,"MYR900 - MYR3,000 Per Month",2 days ago,N/A,internship-johor-bahru
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-johor-bahru
https://www.maukerja.my/job/26213499-pereka-grafik-latihan-industri,26213499,Pereka Grafik (Latihan Industri),SOHO Labs Sdn Bhd,"MYR500 - MYR3,000 Sebulan",Latihan Industri,"Johor Bahru, Johor","MYR500 - MYR3,000 Sebulan",9 days ago,"Graphic Design, Adobe Creative Suite",internship-johor-bahru
https://www.maukerja.my/job/26140530-internship-hr-international-business-business-admin-psychology-marketing,26140530,Internship (HR/International Business/Business Admin/Psychology/Marketing),Agensi Pekerjaan & Perundingcara Bright Prospect Sdn Bhd,"MYR1,000 - MYR1,200 Sebulan",Latihan Industri,"Johor Bahru, Johor","MYR1,000 - MYR1,200 Sebulan",17 days ago,communication skills,internship-johor-bahru
https://www.maukerja.my/job/26106718-internship-for-automotive-service,26106718,Internship For Automotive Service,Gagner Auto Sdn Bhd,Undisclosed,Latihan Industri,"Johor Bahru, Johor",Undisclosed,9 days ago,"Automotive, Internship for service side",internship-johor-bahru
https://www.maukerja.my/job/26144902-internship-for-administrative-and-it-software-support,26144902,Internship For Administrative and IT Software Support,"SQL, Autocount, Doctor Partner,Fav365, Fingertech","MYR700 - MYR1,200 Sebulan",Latihan Industri,"Johor Bahru, Johor","MYR700 - MYR1,200 Sebulan",17 days ago,"Cold Calling, Time Management",internship-johor-bahru
https://www.maukerja.my/job/26118868-pelatih-jualan-pembangunan-perniagaan,26118868,Pelatih Jualan / Pembangunan Perniagaan,Toys Park Marketing,"MYR400 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor","MYR400 - MYR1,000 Sebulan",2 days ago,"Social Media Marketing, Sales Strategy",internship-johor-bahru
https://www.maukerja.my/job/25923858-internship-for-marketing-content-creation,25923858,Internship For Marketing & Content Creation,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor","MYR800 - MYR1,000 Sebulan",a month ago,"Content Creation, Marketing Strategy",internship-johor-bahru
https://www.maukerja.my/job/25882696-internship-for-hr-recruitment-admin-facilities-sales-marketing,25882696,Internship For HR (Recruitment)/ Admin & Facilities / Sales / Marketing,Alpaca Connect Sdn Bhd,"MYR500 - MYR1,000 monthly",Latihan Industri,"Johor Bahru, Johor","MYR500 - MYR1,000 monthly",5 days ago,"Recruitment, Human Resources",internship-johor-bahru
https://www.maukerja.my/job/25923911-internship-for-finance-administration,25923911,Internship For Finance & Administration,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor","MYR800 - MYR1,000 Sebulan",a month ago,"Financial Management, Accounting",internship-johor-bahru
https://www.maukerja.my/job/25879401-internship-for-civil-engineering,25879401,Internship For Civil Engineering,Atlantis C&E Sdn Bhd,Undisclosed,Latihan Industri,"Johor Bahru, Johor",Undisclosed,2 months ago,Civil Engineering,internship-johor-bahru
