url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26266760-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-pd-waterfront,26266760,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu PD Waterfront ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Port Dickson, Negeri Sembilan",Up to MYR15 Per Hour,4 days ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/26266792-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-shell-lukut-2,26266792,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Shell Lukut 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Port Dickson, Negeri Sembilan",Up to MYR15 Per Hour,4 days ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/26266707-kru-kasual-hari-raya-haji-mcdonalds-pandu-shell-port-dickson,26266707,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Shell Port Dickson ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Port Dickson, Negeri Sembilan",Up to MYR15 Per Hour,5 days ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/17979562-health-advisor-sunggala-gateway,17979562,Health Advisor ( SUNGGALA GATEWAY ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Port Dickson, Negeri Sembilan","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/17979557-health-advisor-port-dickson,17979557,Health Advisor ( PORT DICKSON ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Port Dickson, Negeri Sembilan","Up to MYR2,100 Per Month",11 days ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/15678942-delivery-rider-part-time-dominos-pizza-port-dickson,15678942,Delivery Rider (Part Time) ( Domino's Pizza Port Dickson ),Domino's Pizza,"Up to MYR2,500 Per Month",N/A,"Port Dickson, Negeri Sembilan","Up to MYR2,500 Per Month",2 months ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/15678933-crew-member-full-time-dominos-pizza-port-dickson,15678933,Crew Member (Full Time) ( Domino's Pizza Port Dickson ),Domino's Pizza,"Up to MYR1,700 Per Month",N/A,"Port Dickson, Negeri Sembilan","Up to MYR1,700 Per Month",2 months ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/15678951-crew-member-part-time-dominos-pizza-port-dickson,15678951,Crew Member (Part Time) ( Domino's Pizza Port Dickson ),Domino's Pizza,Up to MYR8.72 Per Hour,N/A,"Port Dickson, Negeri Sembilan",Up to MYR8.72 Per Hour,2 months ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job/15678924-delivery-rider-full-time-dominos-pizza-port-dickson,15678924,Delivery Rider (Full Time) ( Domino's Pizza Port Dickson ),Domino's Pizza,"Up to MYR2,500 Per Month",N/A,"Port Dickson, Negeri Sembilan","Up to MYR2,500 Per Month",2 months ago,Any Skill,part-time-port-dickson
https://www.maukerja.my/job?jobId=26283606&slug=hr-intern-talent-acquisition-learning-development,N/A,HR Intern – Talent Acquisition - Learning - Development,Hengyuan Refining Company Berhad,MYR500 - MYR900 Per Month,"Full Time,",Port Dickson,MYR500 - MYR900 Per Month,3 days ago,N/A,part-time-port-dickson
https://www.maukerja.my/job?jobId=26278891&slug=internship-student-kitchen,N/A,Internship Student - Kitchen,AVILLION ADMIRAL COVE,MYR500 - MYR500 Per Month,"Internship,",Port Dickson,MYR500 - MYR500 Per Month,3 days ago,N/A,part-time-port-dickson
https://www.maukerja.my/job?jobId=26278888&slug=internship-student-sports-and-recreation,N/A,Internship Student - Sports and Recreation,AVILLION ADMIRAL COVE,MYR500 - MYR500 Per Month,"Internship,",Port Dickson,MYR500 - MYR500 Per Month,3 days ago,N/A,part-time-port-dickson
https://www.maukerja.my/job?jobId=26278873&slug=internship-student-maintenance-engineering,N/A,Internship Student - Maintenance - Engineering,AVILLION ADMIRAL COVE,MYR500 - MYR500 Per Month,"Internship,",Port Dickson,MYR500 - MYR500 Per Month,3 days ago,N/A,part-time-port-dickson
https://www.maukerja.my/job?jobId=26167990&slug=sales-consultant,N/A,Sales Consultant,Al Isra' Group,"MYR2,000 - MYR10,000 Per Month","Full Time,",Port Dickson,"MYR2,000 - MYR10,000 Per Month",17 days ago,N/A,part-time-port-dickson
