url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473438-delivery-rider-part-time-dominos-tanah-merah,14473438,Delivery Rider (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473439-delivery-rider-part-time-dominos-jelawat,14473439,Delivery Rider (Part Time) ( Domino's Jelawat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Bachok, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473435-delivery-rider-part-time-dominos-pizza-kota-bharu,14473435,Delivery Rider (Part Time) ( Domino's Pizza Kota Bharu ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473433-crew-member-full-time-dominos-tanah-merah,14473433,Crew Member (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tanah Merah, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473440-crew-member-part-time-dominos-pizza-kota-bharu,14473440,Crew Member (Part Time) ( Domino's Pizza Kota Bharu ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473429-crew-member-full-time-dominos-pizza-kota-bharu,14473429,Crew Member (Full Time) ( Domino's Pizza Kota Bharu ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473434-crew-member-full-time-dominos-jelawat,14473434,Crew Member (Full Time) ( Domino's Jelawat ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Bachok, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473443-crew-member-part-time-dominos-tanah-merah,14473443,Crew Member (Part Time) ( Domino's Tanah Merah ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tanah Merah, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473444-crew-member-part-time-dominos-jelawat,14473444,Crew Member (Part Time) ( Domino's Jelawat ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Bachok, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/13981585-barista-mcdonalds-kuala-krai-dt,13981585,Barista ( McDonald's Kuala Krai DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,Kelantan,2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473424-delivery-rider-full-time-dominos-pizza-kota-bharu,14473424,Delivery Rider (Full Time) ( Domino's Pizza Kota Bharu ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/14473427-delivery-rider-full-time-dominos-tanah-merah,14473427,Delivery Rider (Full Time) ( Domino's Tanah Merah ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tanah Merah, Kelantan",2 months ago,Any Skill,sepenuh-masa-kelantan
https://www.maukerja.my/job/26405322-finance-manager,26405322,Finance Manager,Ahmad Zaki Resources Berhad,"MYR8,000 - MYR9,000 Sebulan",Sepenuh Masa,Kelantan,4 days ago,"Account Management, Account Payable",sepenuh-masa-kelantan
https://www.maukerja.my/job/26375958-sales-advisor-nissan-tanah-merah,26375958,SALES ADVISOR | NISSAN TANAH MERAH,Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,"Tanah Merah, Kelantan",8 days ago,Sales experience,sepenuh-masa-kelantan
https://www.maukerja.my/job/26375737-sales-advisor-nissan-kota-bharu,26375737,SALES ADVISOR | NISSAN KOTA BHARU,Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,"Kota Bharu, Kelantan",8 days ago,Sales experience,sepenuh-masa-kelantan
https://www.maukerja.my/job/26367099-digital-content-producer,26367099,Digital Content Producer,Sobella Beauty Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Kota Bharu, Kelantan",9 days ago,"Content Creation, Social Media Marketing",sepenuh-masa-kelantan
https://www.maukerja.my/job/26314960-assistant-manager-trainee,26314960,Assistant Manager Trainee,Black Canyon Restaurant,"Up to MYR2,200 Sebulan",Sepenuh Masa,"Kota, Kelantan",11 days ago,"Customer Service, Team Leadership",sepenuh-masa-kelantan
https://www.maukerja.my/job/26367098-content-creator,26367098,Content Creator,Sobella Beauty Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Kota Bharu, Kelantan",3 days ago,"Content Creation, Social Media Marketing",sepenuh-masa-kelantan
